Date,Day of the week,Day,Month,Year,Thighs,Tenders,Wings,Egg rolls,Crispitos,BBB,Chimichanga,BCB,Onion Rings,Catfish Nuggets,Tamales,Chicken Gizzards,Jalapeno Poppers,Potato Wedges,Hot wings,Corn dogs,Sandwich,Quesadilla,Is Holiday,Chicken,FriedSnacks,FriedBurritos,Otherfood,Price_Chicken,Price_FriedSnacks,Price_FriedBurritos,Price_Other_Food
3/1/2017,Wednesday,1,3,2017,8,11,7,1,21,19,11,13,4,4,14,8,9,13,1,8,1,8,FALSE,26,39,65,31,4.99,1.79,2.29,2.48
3/2/2017,Thursday,2,3,2017,11,27,13,5,12,15,19,12,5,10,13,8,9,13,9,11,6,1,FALSE,51,45,63,40,4.99,1.79,2.29,2.48
3/3/2017,Friday,3,3,2017,9,26,12,6,13,7,9,12,2,10,16,10,6,15,9,14,18,9,FALSE,47,44,47,65,4.99,1.79,2.29,2.48
3/4/2017,Saturday,4,3,2017,9,17,11,4,19,18,5,19,1,1,10,8,5,11,2,11,15,8,FALSE,37,25,65,47,4.99,1.79,2.29,2.48
3/5/2017,Sunday,5,3,2017,7,3,8,1,15,6,12,9,1,5,3,5,4,8,4,8,5,2,FALSE,18,18,43,27,4.99,1.79,2.29,2.48
3/6/2017,Monday,6,3,2017,6,12,10,2,23,16,19,11,3,1,5,5,8,11,4,5,4,1,FALSE,28,22,71,25,4.99,1.79,2.29,2.48
3/7/2017,Tuesday,7,3,2017,7,31,7,3,7,8,15,11,6,4,11,9,8,8,7,13,12,9,FALSE,45,38,44,49,4.99,1.79,2.29,2.48
3/8/2017,Wednesday,8,3,2017,7,15,6,2,12,11,14,16,7,6,3,9,5,10,7,10,12,4,FALSE,28,30,55,43,4.99,1.79,2.29,2.48
3/9/2017,Thursday,9,3,2017,8,31,12,1,25,20,7,15,11,8,6,9,8,11,5,10,9,8,FALSE,51,42,68,43,4.99,1.79,2.29,2.48
3/10/2017,Friday,10,3,2017,11,37,6,4,29,22,17,19,6,5,10,10,10,13,4,9,9,11,FALSE,54,41,91,46,4.99,1.79,2.29,2.48
3/11/2017,Saturday,11,3,2017,7,33,7,5,25,10,17,15,9,8,3,9,9,9,7,6,3,3,FALSE,47,38,72,28,4.99,1.79,2.29,2.48
3/12/2017,Sunday,12,3,2017,4,14,5,4,5,11,5,7,5,5,10,5,6,3,6,7,7,3,FALSE,23,31,32,26,4.99,1.79,2.29,2.48
3/13/2017,Monday,13,3,2017,9,16,5,5,14,16,5,16,1,8,13,9,8,2,4,14,3,3,FALSE,30,39,56,26,4.99,1.79,2.29,2.48
3/14/2017,Tuesday,14,3,2017,6,34,10,2,6,11,5,14,3,6,5,8,7,7,5,7,1,5,FALSE,50,29,38,25,4.99,1.79,2.29,2.48
3/15/2017,Wednesday,15,3,2017,8,2,13,2,9,18,18,13,8,4,10,10,9,13,7,5,2,2,FALSE,23,41,60,29,4.99,1.79,2.29,2.48
3/16/2017,Thursday,16,3,2017,8,41,9,6,12,15,21,18,10,2,1,9,9,5,4,10,8,5,FALSE,58,31,72,32,4.99,1.79,2.29,2.48
3/17/2017,Friday,17,3,2017,10,34,7,2,19,17,14,20,5,8,3,10,5,16,6,11,14,2,FALSE,51,31,72,49,4.99,1.79,2.29,2.48
3/18/2017,Saturday,18,3,2017,9,41,8,2,18,8,11,16,6,3,3,10,6,5,1,10,10,3,FALSE,58,28,55,29,4.99,1.79,2.29,2.48
3/19/2017,Sunday,19,3,2017,4,4,9,3,13,4,11,8,3,2,1,6,4,1,4,7,1,4,FALSE,17,16,39,17,4.99,1.79,2.29,2.48
3/20/2017,Monday,20,3,2017,8,9,9,6,22,6,12,14,9,3,13,9,6,11,5,14,6,8,FALSE,26,40,60,44,4.99,1.79,2.29,2.48
3/21/2017,Tuesday,21,3,2017,6,21,11,6,6,12,16,15,2,4,10,7,10,12,7,13,14,3,FALSE,38,33,55,49,4.99,1.79,2.29,2.48
3/22/2017,Wednesday,22,3,2017,9,1,9,5,20,17,8,16,6,2,12,8,6,11,10,14,1,6,FALSE,19,34,66,42,4.99,1.79,2.29,2.48
3/23/2017,Thursday,23,3,2017,9,10,12,7,14,19,13,18,3,6,12,6,8,16,5,6,14,5,FALSE,31,35,71,46,4.99,1.79,2.29,2.48
3/24/2017,Friday,24,3,2017,6,27,8,3,27,15,24,13,5,3,10,10,10,8,11,14,17,5,FALSE,41,38,82,55,4.99,1.79,2.29,2.48
3/25/2017,Saturday,25,3,2017,5,3,11,1,18,19,17,17,2,5,8,7,6,13,6,11,1,5,FALSE,19,28,72,36,4.99,1.79,2.29,2.48
3/26/2017,Sunday,26,3,2017,5,3,9,3,8,13,5,9,6,5,4,5,6,5,4,4,4,5,FALSE,17,26,38,22,4.99,1.79,2.29,2.48
3/27/2017,Monday,27,3,2017,7,25,10,1,22,6,16,18,8,9,14,9,6,3,2,14,11,4,FALSE,42,46,63,34,4.99,1.79,2.29,2.48
3/28/2017,Tuesday,28,3,2017,5,38,10,2,6,8,16,18,1,2,4,6,9,11,1,8,13,8,FALSE,53,22,50,41,4.99,1.79,2.29,2.48
3/29/2017,Wednesday,29,3,2017,7,16,9,5,5,5,11,12,6,9,5,10,9,2,9,11,12,9,FALSE,32,39,38,43,4.99,1.79,2.29,2.48
3/30/2017,Thursday,30,3,2017,10,25,15,1,9,13,8,16,1,7,5,11,11,17,7,7,10,11,FALSE,50,35,47,52,4.99,1.79,2.29,2.48
3/31/2017,Friday,31,3,2017,8,41,14,7,28,9,8,20,7,7,15,9,7,14,10,14,16,11,FALSE,63,45,72,65,4.99,1.79,2.29,2.48
4/1/2017,Saturday,1,4,2017,8,13,9,3,11,15,8,11,7,3,5,8,7,12,6,9,8,2,FALSE,30,30,48,37,4.99,1.79,2.29,2.48
4/2/2017,Sunday,2,4,2017,6,25,9,1,16,12,8,12,1,6,5,4,7,7,5,4,2,2,FALSE,40,23,49,20,4.99,1.79,2.29,2.48
4/3/2017,Monday,3,4,2017,5,12,14,5,10,12,16,13,8,4,11,5,5,7,9,6,3,5,FALSE,31,33,56,30,4.99,1.79,2.29,2.48
4/4/2017,Tuesday,4,4,2017,6,18,5,6,5,12,12,15,8,5,8,9,5,1,5,12,1,1,FALSE,29,35,50,20,4.99,1.79,2.29,2.48
4/5/2017,Wednesday,5,4,2017,10,36,9,2,12,15,11,11,8,3,2,6,8,2,1,11,14,4,FALSE,55,27,51,32,4.99,1.79,2.29,2.48
4/6/2017,Thursday,6,4,2017,8,11,13,1,6,14,21,14,5,6,5,11,8,4,1,6,4,6,FALSE,32,35,56,21,4.99,1.79,2.29,2.48
4/7/2017,Friday,7,4,2017,10,41,9,2,27,9,22,15,5,9,9,10,10,5,11,12,17,12,FALSE,60,43,75,57,4.99,1.79,2.29,2.48
4/8/2017,Saturday,8,4,2017,6,12,11,4,16,9,18,20,8,8,7,9,6,5,5,12,12,8,FALSE,29,38,67,42,4.99,1.79,2.29,2.48
4/9/2017,Sunday,9,4,2017,4,11,7,2,14,7,5,8,1,5,6,3,6,3,1,9,9,1,FALSE,22,21,36,23,4.99,1.79,2.29,2.48
4/10/2017,Monday,10,4,2017,8,19,6,5,15,9,12,17,8,6,6,8,7,9,3,6,12,3,FALSE,33,35,58,33,4.99,1.79,2.29,2.48
4/11/2017,Tuesday,11,4,2017,5,35,11,5,23,13,11,17,7,1,6,7,8,3,1,12,13,3,FALSE,51,29,69,32,4.99,1.79,2.29,2.48
4/12/2017,Wednesday,12,4,2017,8,6,5,2,13,12,6,17,7,6,11,6,8,1,6,12,12,6,FALSE,19,38,50,37,4.99,1.79,2.29,2.48
4/13/2017,Thursday,13,4,2017,7,32,11,4,22,13,21,22,11,9,10,11,6,9,8,11,1,5,FALSE,50,47,82,34,4.99,1.79,2.29,2.48
4/14/2017,Friday,14,4,2017,7,26,16,7,6,11,15,14,9,10,15,9,7,14,4,9,10,5,FALSE,49,50,53,42,4.99,1.79,2.29,2.48
4/15/2017,Saturday,15,4,2017,5,27,10,5,11,8,13,15,2,8,15,8,8,10,3,9,1,1,FALSE,42,41,52,24,4.99,1.79,2.29,2.48
4/16/2017,Sunday,16,4,2017,4,24,8,1,14,8,6,13,1,5,8,6,4,4,5,9,3,3,FALSE,36,24,42,24,4.99,1.79,2.29,2.48
4/17/2017,Monday,17,4,2017,8,37,6,5,15,18,18,11,1,8,6,7,7,2,1,12,9,1,FALSE,51,29,67,25,4.99,1.79,2.29,2.48
4/18/2017,Tuesday,18,4,2017,7,14,12,1,10,19,8,13,7,2,14,8,9,2,5,5,6,5,FALSE,33,40,51,23,4.99,1.79,2.29,2.48
4/19/2017,Wednesday,19,4,2017,9,35,7,5,22,11,8,15,5,1,9,6,5,3,3,13,4,3,FALSE,51,26,61,26,4.99,1.79,2.29,2.48
4/20/2017,Thursday,20,4,2017,9,10,15,1,25,8,20,17,5,3,5,12,7,10,6,9,15,6,FALSE,34,32,71,46,4.99,1.79,2.29,2.48
4/21/2017,Friday,21,4,2017,9,41,8,5,11,14,10,21,6,8,9,10,11,9,5,10,11,4,FALSE,58,44,61,39,4.99,1.79,2.29,2.48
4/22/2017,Saturday,22,4,2017,8,18,14,2,20,7,10,19,6,2,13,5,7,9,5,11,9,5,FALSE,40,33,58,39,4.99,1.79,2.29,2.48
4/23/2017,Sunday,23,4,2017,7,21,8,4,15,9,11,9,4,3,10,3,6,7,6,6,1,3,FALSE,36,26,48,23,4.99,1.79,2.29,2.48
